Unnamed: 0;link;Year;Zhila;Kitchen;Full_square;Отопление;Парковка;Построен;Район;Срок сдачи;Тип дома;Тип жилья;Тип перекрытий;Price;Этаж;Musor_dummy;lift_dummy;avaria;metro_time;Transport;Etazh;Etazh_all;share_etazh;Rooms;Owner;raion_autozavod;raion_zheleznodor;raion_kirovskii;raion_krasnoglinskii;raion_kuibish;raion_leninskii;raion_okt;raion_prom;raion_samar;raion_ussr;Old;old_ap;old_pent;new;Wood;zhelezobet;mix;gaz_autonomic;gaz_central;warm_autonomic_cot;warm_individual;warm_kotel;warm_pech;warm_central;tr_walk;tr_far;tr_tr;room1;room2;room3;room4;room5;room_kv;room_mn;room_st;park_naz;park_no_info;park_podzem;price_m2;kit_sh
30;https://samara.cian.ru/sale/flat/245597429/;1976.0;13.0;5.0;23.0;Центральное;Нет инфо;;р-н Промышленный;;Панельный;Вторичка;Железобетонные;2050000.0;3 из 9;0;1;0;;Далеко;3.0;9.0;0.3333333333333333;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;89130.43478260869;0.21739130434782608
31;https://samara.cian.ru/sale/flat/244762033/;2015.0;30.0;14.0;59.0;Центральное;Нет инфо;;р-н Октябрьский;;Кирпичный;Вторичка;Железобетонные;4599000.0;3 из 13;0;1;0;;Далеко;3.0;13.0;0.23076923076923078;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;77949.15254237287;0.23728813559322035
32;https://samara.cian.ru/sale/flat/237597203/;;17.0;11.0;41.0;Нет инфо;Нет инфо;;р-н Ленинский;4 кв. 2020;Нет инфо;Новостройка;Нет инфо;5369000.0;23 из 25;0;0;0;13;В пешей доступности;23.0;25.0;0.92;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;130951.21951219512;0.2682926829268293
33;https://samara.cian.ru/sale/flat/245416822/;2010.0;21.0;10.0;50.0;Центральное;Нет инфо;;р-н Куйбышевский;;Кирпичный;Вторичка;Железобетонные;2600000.0;6 из 10;0;1;0;;Далеко;6.0;10.0;0.6;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;52000.0;0.2
34;https://samara.cian.ru/sale/flat/237386745/;2011.0;17.0;11.0;33.0;Котел/Квартирное отопление;Нет инфо;;р-н Красноглинский;;Кирпичный;Вторичка;Железобетонные;1530000.0;3 из 3;0;0;0;;Далеко;3.0;3.0;1.0;1;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;46363.63636363636;0.3333333333333333
35;https://samara.cian.ru/sale/flat/226900645/;1962.0;17.0;6.0;29.0;Центральное;Нет инфо;;р-н Куйбышевский;;Кирпичный;Вторичка;Железобетонные;1650000.0;4 из 5;0;0;0;;Далеко;4.0;5.0;0.8;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;56896.55172413793;0.20689655172413793
36;https://samara.cian.ru/sale/flat/245820094/;2017.0;17.0;9.0;37.0;Автономная котельная;Нет инфо;;р-н Октябрьский;;Кирпичный;Вторичка;Железобетонные;3300000.0;4 из 18;0;1;0;;Далеко;4.0;18.0;0.2222222222222222;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;89189.18918918919;0.24324324324324326
37;https://samara.cian.ru/sale/flat/234066713/;;17.0;12.0;47.0;Нет инфо;Нет инфо;;р-н Советский;4 кв. 2022;Нет инфо;Новостройка;Нет инфо;2230000.0;5 из 32;0;0;0;;Далеко;5.0;32.0;0.15625;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;47446.8085106383;0.2553191489361702
38;https://samara.cian.ru/sale/flat/246064947/;2011.0;15.0;11.0;36.0;Котел/Квартирное отопление;Нет инфо;2011.0;р-н Красноглинский;;Кирпичный;Вторичка;Железобетонные;1600000.0;1 из 3;0;0;0;;Далеко;1.0;3.0;0.3333333333333333;1;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;44444.444444444445;0.3055555555555556
39;https://samara.cian.ru/sale/flat/236084777/;1992.0;19.0;8.0;36.0;Центральное;Нет инфо;;р-н Кировский;;Блочный;Вторичка;Железобетонные;2499000.0;5 из 10;0;1;0;;Далеко;5.0;10.0;0.5;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;69416.66666666667;0.2222222222222222
