,Unnamed: 0,link,Год постройки,Жилая,Кухня,Общая,Отопление,Парковка,Построен,Район,Срок сдачи,Тип дома,Тип жилья,Тип перекрытий,Цена,Этаж,Мусоропровод_dummy,Лифт_dummy,Авариное,metro_time,Транспорт,Этаж1,Этажей,Доля,Комната,Собственник,Район_<р-н Автозаводский>,Район_<р-н Железнодорожный>,Район_<р-н Кировский>,Район_<р-н Красноглинский>,Район_<р-н Куйбышевский>,Район_<р-н Ленинский>,Район_<р-н Октябрьский>,Район_<р-н Промышленный>,Район_<р-н Самарский>,Район_<р-н Советский>,Тип жилья_<Вторичка>,Тип жилья_<Вторичка Апартаменты>,Тип жилья_<Вторичка Пентхаус>,Тип жилья_<Новостройка>,Тип перекрытий_<Деревянные>,Тип перекрытий_<Железобетонные>,Тип перекрытий_<Смешанные>,Газоснабжение_<Автономное>,Газоснабжение_<Центральное>,Отопление_<Автономная котельная>,Отопление_<Индивидуальный тепловой пункт>,Отопление_<Котел/Квартирное отопление>,Отопление_<Печь>,Отопление_<Центральное>,Транспорт_<В пешей доступности>,Транспорт_<Далеко>,Транспорт_<На транспорте близко>,Комната_<1>,Комната_<2>,Комната_<3>,Комната_<4>,Комната_<5>,Комната_<К>,Комната_<М>,Комната_<С>,Парковка_<Наземная>,Парковка_<Нет инфо>,Парковка_<Подземная>
2578,2578,https://samara.cian.ru/sale/flat/245866892/,1992.0,31.0,10.0,54.0,Центральное,Нет инфо,1992.0,р-н Куйбышевский,,Панельный,Вторичка,Железобетонные,2150000.0,4 из 5,0,0,0,,Далеко,4.0,5.0,0.8,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2579,2579,https://samara.cian.ru/sale/flat/244830805/,2013.0,28.0,8.0,43.0,Котел/Квартирное отопление,Нет инфо,2013.0,р-н Красноглинский,,Кирпичный,Вторичка,Железобетонные,2150000.0,3 из 3,0,0,0,,Далеко,3.0,3.0,1.0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2580,2580,https://samara.cian.ru/sale/flat/245116129/,,34.0,10.0,46.0,Нет инфо,Наземная,2015.0,р-н Красноглинский,,Нет инфо,Вторичка,Нет инфо,2150000.0,2 из 2,0,0,0,,Далеко,2.0,2.0,1.0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2581,2581,https://samara.cian.ru/sale/flat/242619680/,2013.0,26.0,8.0,45.0,Котел/Квартирное отопление,Нет инфо,2013.0,р-н Красноглинский,,Кирпичный,Вторичка,Железобетонные,2199000.0,2 из 33,0,0,0,,Далеко,2.0,33.0,0.06060606060606061,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2582,2582,https://samara.cian.ru/sale/flat/242455248/,2013.0,26.0,8.0,45.0,Котел/Квартирное отопление,Нет инфо,2012.0,р-н Красноглинский,,Кирпичный,Вторичка,Железобетонные,2199000.0,2 из 3,0,0,0,,Далеко,2.0,3.0,0.6666666666666666,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2583,2583,https://samara.cian.ru/sale/flat/242376171/,,26.0,8.0,45.0,Нет инфо,Нет инфо,,р-н Красноглинский,,Кирпичный,Вторичка,Нет инфо,2199000.0,2 из 3,0,0,0,,Далеко,2.0,3.0,0.6666666666666666,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2584,2584,https://samara.cian.ru/sale/flat/242241714/,,26.0,8.0,45.0,Нет инфо,Нет инфо,,р-н Красноглинский,,Кирпичный,Вторичка,Нет инфо,2199000.0,2 из 3,0,0,0,,Далеко,2.0,3.0,0.6666666666666666,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2585,2585,https://samara.cian.ru/sale/flat/242020590/,,26.0,8.0,45.0,Нет инфо,Нет инфо,,р-н Красноглинский,,Кирпичный,Вторичка,Нет инфо,2199000.0,2 из 3,0,0,0,,Далеко,2.0,3.0,0.6666666666666666,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2586,2586,https://samara.cian.ru/sale/flat/241820067/,,26.0,8.0,45.0,Нет инфо,Нет инфо,,р-н Красноглинский,,Кирпичный,Вторичка,Нет инфо,2199000.0,2 из 3,0,0,0,,Далеко,2.0,3.0,0.6666666666666666,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2587,2587,https://samara.cian.ru/sale/flat/241701737/,,26.0,8.0,45.0,Нет инфо,Нет инфо,,р-н Красноглинский,,Кирпичный,Вторичка,Нет инфо,2199000.0,2 из 3,0,0,0,,Далеко,2.0,3.0,0.6666666666666666,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2588,2588,https://samara.cian.ru/sale/flat/241519840/,,26.0,8.0,45.0,Нет инфо,Нет инфо,,р-н Красноглинский,,Кирпичный,Вторичка,Нет инфо,2199000.0,2 из 3,0,0,0,,Далеко,2.0,3.0,0.6666666666666666,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2589,2589,https://samara.cian.ru/sale/flat/241471534/,,26.0,8.0,45.0,Нет инфо,Нет инфо,,р-н Красноглинский,,Кирпичный,Вторичка,Нет инфо,2199000.0,2 из 3,0,0,0,,Далеко,2.0,3.0,0.6666666666666666,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2590,2590,https://samara.cian.ru/sale/flat/241344404/,,26.0,8.0,45.0,Нет инфо,Нет инфо,,р-н Красноглинский,,Кирпичный,Вторичка,Нет инфо,2199000.0,2 из 3,0,0,0,,Далеко,2.0,3.0,0.6666666666666666,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2591,2591,https://samara.cian.ru/sale/flat/241322920/,,26.0,8.0,45.0,Нет инфо,Нет инфо,,р-н Красноглинский,,Кирпичный,Вторичка,Нет инфо,2199000.0,2 из 3,0,0,0,,Далеко,2.0,3.0,0.6666666666666666,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
